block	genes	n_present	n_syntenic	syntenic_fraction
Rv2665	Rv2665-Rv2667-Rv2668-Rv2669	0	0	NA
Rv0287	Rv0287-Rv0288-Rv0289-Rv0290	1	0	0.000
Rv2610c	Rv2610c-Rv2611c-Rv2612c-Rv2613c	8	8	1.000
Rv0694	Rv0694-Rv0695-Rv0696-Rv0697	5	2	0.400
Rv2997	Rv2997-Rv2998-Rv2999-Rv3000	0	0	NA
Rv0663	Rv0663-Rv0664-Rv0665-Rv0666	0	0	NA
Rv1905c	Rv1905c-Rv1906c-Rv1907c-Rv1908c	0	0	NA
Rv2832c	Rv2832c-Rv2833c-Rv2834c-Rv2835c	6	3	0.500
Rv2819c	Rv2819c-Rv2820c-Rv2821c-Rv2822c	0	0	NA
Rv1331	Rv1331-Rv1332-Rv1333-Rv1334	6	4	0.667
Rv3378c	Rv3378c-Rv3379c-Rv3382c-Rv3383c	0	0	NA
Rv1296	Rv1296-Rv1297-Rv1298-Rv1299	11	6	0.545
Rv0863	Rv0863-Rv0864-Rv0865-Rv0866	7	3	0.429
Rv3882c	Rv3882c-Rv3883c-Rv3884c-Rv3885c	1	0	0.000
Rv3607c	Rv3607c-Rv3608c-Rv3609c-Rv3610c	11	9	0.818
Rv1292	Rv1292-Rv1293-Rv1294-Rv1295	9	6	0.667
Rv2222c	Rv2222c-Rv2223c-Rv2224c-Rv2224d	5	1	0.200
Rv0367c	Rv0367c-Rv0368c-Rv0369c-Rv0370c	0	0	NA
Rv0445c	Rv0445c-Rv0446c-Rv0447c-Rv0448c	3	3	1.000
Rv0649	Rv0649-Rv0650-Rv0651-Rv0652	0	0	NA
Rv2454c	Rv2454c-Rv2455c-Rv2456c-Rv2457c	0	0	NA
Rv1579c	Rv1579c-Rv1580c-Rv1581c-Rv1582c	0	0	NA
Rv2183c	Rv2183c-Rv2184c-Rv2185c-Rv2186c	3	3	1.000
Rv0049	Rv0049-Rv0050-Rv0051-Rv0052	4	0	0.000
Rv2965c	Rv2965c-Rv2966c-Rv2967c-Rv2968c	9	0	0.000
Rv2215	Rv2215-Rv2216-Rv2217-Rv2218	10	5	0.500
Rv3086	Rv3086-Rv3087-Rv3088-Rv3089	6	0	0.000
Rv3159c	Rv3159c-Rv3160c-Rv3161c-Rv3162c	0	0	NA
Rv1788	Rv1788-Rv1789-Rv1790-Rv1791	0	0	NA
Rv0014c	Rv0014c-Rv0015c-Rv0016c-Rv0017c	11	10	0.909
Rv0725c	Rv0725c-Rv0726c-Rv0727c-Rv0728c	4	0	0.000
Rv0431	Rv0431-Rv0432-Rv0433-Rv0434	2	0	0.000
Rv3199c	Rv3199c-Rv3200c-Rv3201c-Rv3202c	9	6	0.667
Rv3782	Rv3782-Rv3783-Rv3784-Rv3785	0	0	NA
Rv0003	Rv0003-Rv0004-Rv0005-Rv0006	11	7	0.636
Rv0455c	Rv0455c-Rv0456c-Rv0456A-Rv0456B	0	0	NA
Rv3419c	Rv3419c-Rv3420c-Rv3421c-Rv3422c	8	7	0.875
Rv3898c	Rv3898c-Rv3899c-Rv3900c-Rv3901c	0	0	NA
Rv2197c	Rv2197c-Rv2198c-Rv2199c-Rv2200c	1	1	1.000
Rv3147	Rv3147-Rv3148-Rv3149-Rv3150	7	7	1.000
Rv0507	Rv0507-Rv0508-Rv0509-Rv0510	9	0	0.000
Rv0670	Rv0670-Rv0671-Rv0672-Rv0673	1	0	0.000
Rv2177c	Rv2177c-Rv2178c-Rv2179c-Rv2180c	3	0	0.000
Rv2496c	Rv2496c-Rv2497c-Rv2498c-Rv2499c	5	0	0.000
Rv2839c	Rv2839c-Rv2840c-Rv2841c-Rv2842c	8	8	1.000
Rv2934	Rv2934-Rv2935-Rv2936-Rv2937	4	0	0.000
Rv3703c	Rv3703c-Rv3704c-Rv3705c-Rv3705A	0	0	NA
Rv2133c	Rv2133c-Rv2134c-Rv2135c-Rv2136c	8	5	0.625
Rv1859	Rv1859-Rv1860-Rv1861-Rv1862	0	0	NA
Rv1388	Rv1388-Rv1389-Rv1390-Rv1391	9	9	1.000
Rv0084	Rv0084-Rv0085-Rv0086-Rv0087	0	0	NA
Rv2595	Rv2595-Rv2596-Rv2597-Rv2598	1	0	0.000
Rv0125	Rv0125-Rv0126-Rv0127-Rv0128	1	0	0.000
Rv0973c	Rv0973c-Rv0974c-Rv0975c-Rv0976c	6	5	0.833
Rv2752c	Rv2752c-Rv2753c-Rv2754c-Rv2756c	1	0	0.000
Rv2377c	Rv2377c-Rv2378c-Rv2379c-Rv2380c	4	0	0.000
Rv0993	Rv0993-Rv0994-Rv0995-Rv0996	6	6	1.000
